,Song,Artist,Weeks On #1,Weeks On Chart,Peak Rank
292,3500,Travi$ Scott Featuring Future & 2 Chainz,0,0,82
293,"John Cougar, John Deere, John 3:16",Keith Urban,0,20,40
294,Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,0,2,92
295,This Could Be Us,Rae Sremmurd,0,20,49
296,Lose My Mind,Brett Eldredge,0,20,48
297,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,0,17,16
298,B**** I'm Madonna,Madonna Featuring Nicki Minaj,0,2,84
299,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,0,20,21
300,Sparks,Hilary Duff,0,0,93
301,Good Thing,Sage The Gemini Featuring Nick Jonas,0,8,75
302,Good For You,Selena Gomez Featuring A$AP Rocky,0,26,5
303,No Sleeep,Janet Featuring J. Cole,0,2,63
304,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,0,14,43
305,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,0,20,21
306,Yoga,Janelle Monae & Jidenna,0,6,79
307,Real Life,The Weeknd,0,13,62
308,Like I Can,Sam Smith,0,2,99
309,Check,Young Thug,0,0,100
310,679,Fetty Wap Featuring Remy Boyz,0,40,4
311,Cool For The Summer,Demi Lovato,0,20,11
312,R.I.C.O.,Meek Mill Featuring Drake,0,13,40
313,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,0,14,84
314,Do It Again,Pia Mia Featuring Chris Brown & Tyga,0,11,71
315,Bad For You,Meek Mill Featuring Nicki Minaj,0,2,78
316,My Way,Fetty Wap Featuring Monty,0,22,7
317,Brother,NEEDTOBREATHE Featuring Gavin DeGraw,0,2,98
318,Love Is Your Name,Steven Tyler,0,0,75
319,Lord Knows,Meek Mill,0,2,88
320,Jump Out The Face,Meek Mill Featuring Future,0,2,91
321,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,0,39,8
322,Ex's & Oh's,Elle King,0,38,10
323,Break Up With Him,Old Dominion,0,20,44
324,Kings Never Die,Eminem Featuring Gwen Stefani,0,2,80
325,Should've Been Us,Tori Kelly,0,10,51
326,Fly,Maddie & Tae,0,14,61
327,Burning House,Emily Ann Roberts,0,25,29
328,She's Kinda Hot,5 Seconds Of Summer,0,9,22
329,How Deep Is Your Love,Calvin Harris & Disciples,0,20,27
330,Where Ya At,Future Featuring Drake,0,25,28
331,Strip It Down,Luke Bryan,0,20,30
332,Locked Away,R. City Featuring Adam Levine,0,27,6
333,Blow A Bag,Future,0,0,95
334,Anything Goes,Florida Georgia Line,0,18,55
335,Save It For A Rainy Day,Kenny Chesney,0,17,54
336,Dance Like We're Making Love,Ciara,0,0,100
337,Fire N Gold,Bea Miller,0,0,78
338,Cheyenne,Jason Derulo,0,7,66
339,Drag Me Down,One Direction,0,20,3
340,Back To Back,Drake,0,20,21
341,Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",0,6,38
342,Omen,Disclosure Featuring Sam Smith,0,6,64
343,Hotline Bling,Drake,0,36,2
344,Charged Up,Drake,0,0,78
345,100,The Game Featuring Drake,0,10,82
346,Comfortable,K Camp,0,15,54
347,Let Me See Ya Girl,Cole Swindell,0,18,59
348,Here,Alessia Cara,0,34,5
349,If Only,Dove Cameron,0,2,94
350,Again,Fetty Wap,0,26,33
351,High By The Beach,Lana Del Rey,0,3,51
352,Love Myself,Hailee Steinfeld,0,16,30
353,Nothin' Like You,Dan + Shay,0,19,51
354,Gonna Wanna Tonight,Chase Rice,0,12,67
355,Black Magic,Little Mix,0,8,67
356,100 Grandkids,Mac Miller,0,0,100
357,Straight Outta Compton,N.W.A,0,2,38
358,Hit The Quan,iLoveMemphis,0,20,15
359,Boyz-N-The Hood,Eazy-E,0,2,50
360,The Fix,Nelly Featuring Jeremih,0,20,62
361,Fly Away,5 Seconds Of Summer,0,0,100
362,Smoke Break,Carrie Underwood,0,19,43
363,Levels,Nick Jonas,0,12,44
364,No Role Modelz,J. Cole,0,25,36
365,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",0,20,12
366,Liquor,Chris Brown,0,17,60
367,About You,Trey Songz,0,3,83
368,Cecilia And The Satellite,Andrew McMahon In The Wilderness,0,3,96
369,I'm To Blame,Kip Moore,0,0,100
370,What Do You Mean?,Justin Bieber,0,31,1
371,Wildest Dreams,Taylor Swift,0,27,5
372,Prisoner,The Weeknd Featuring Lana Del Rey,0,3,47
373,Tell Your Friends,The Weeknd,0,3,54
374,Acquainted,The Weeknd,0,18,60
375,Roots,Imagine Dragons,0,0,77
376,Shameless,The Weeknd,0,2,79
377,Losers,The Weeknd Featuring Labrinth,0,0,85
378,Dark Times,The Weeknd Featuring Ed Sheeran,0,3,91
379,Jet Black Heart,5 Seconds Of Summer,0,0,95
380,New Americana,Halsey,0,17,60
381,In The Night,The Weeknd,0,20,12
382,Antidote,Travis Scott,0,26,16
383,Burn Slow,Wiz Khalifa Featuring Rae Sremmurd,0,0,83
384,White Iverson,Post Malone,0,30,14
385,Ginza,J Balvin,0,15,84
386,Same Old Love,Selena Gomez,0,28,5
387,Right Hand,Drake,0,19,58
388,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,0,18,63
389,Gonna,Blake Shelton,0,18,54
390,Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,0,7,86
391,Hold My Hand,Jess Glynne,0,6,86
392,Firestone,Kygo Featuring Conrad,0,0,92
393,Hide Away,Daya,0,27,23
394,Come Get Her,Rae Sremmurd,0,19,56
395,On My Mind,Ellie Goulding,0,22,13
396,Jumpman,Drake & Future,0,32,12
397,RGF Island,Fetty Wap,0,14,57
398,Diamonds Dancing,Drake & Future,0,8,53
399,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,0,19,71
400,Big Rings,Drake & Future,0,20,52
401,Digital Dash,Drake & Future,0,7,62
402,Confident,Demi Lovato,0,20,21
403,Live From The Gutter,Drake & Future,0,5,74
404,Scholarships,Drake & Future,0,7,69
405,30 For 30 Freestyle,Drake,0,2,88
406,I'm The Plug,Drake & Future,0,5,76
407,Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,0,0,90
408,Die A Happy Man,Thomas Rhett,0,30,21
409,Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,0,6,83
410,Hold Each Other,A Great Big World Featuring FUTURISTIC,0,2,99
411,Alive,Sia,0,3,56
412,Writing's On The Wall,Sam Smith,0,2,71
413,Plastic Bag,Drake & Future,0,2,78
414,Change Locations,Drake & Future,0,3,82
415,Jugg,Fetty Wap Featuring Monty,0,6,86
416,Jersey,Future,0,2,87
417,Lay It All On Me,Rudimental Featuring Ed Sheeran,0,16,48
418,Back Up,DeJ Loaf Featuring Big Sean,0,18,47
419,Break Up In A Small Town,Sam Hunt,0,20,29
420,Stay A Little Longer,Brothers Osborne,0,20,46
421,I Got The Boy,Jana Kramer,0,16,56
422,Top Of The World,Tim McGraw,0,13,73
423,Love Me,The 1975,0,0,100
424,Perfect,One Direction,6,57,1
425,Cake By The Ocean,DNCE,0,46,9
426,Say It,Tory Lanez,0,24,23
427,Gonna Know We Were Here,Jason Aldean,0,16,54
428,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,0,31,6
429,Home,gnash Featuring Johnny Yukon,0,5,74
430,Can't Sleep Love,Pentatonix,0,0,99
431,Hello,Adele,10,26,1
432,Sorry,Rick Ross Featuring Chris Brown,3,42,1
433,Emperor's New Clothes,Panic! At The Disco,0,4,68
434,Used To Love You Sober,Kane Brown,0,0,82
435,Used To Love You,Gwen Stefani,0,9,52
436,Dibs,Kelsea Ballerini,0,17,58
437,I Love This Life,LOCASH,0,18,56
438,Exchange,Bryson Tiller,0,34,26
439,Focus,H.E.R.,0,13,7
440,Tennessee Whiskey,Chris Stapleton,0,6,20
441,Thriller,Michael Jackson,0,18,31
442,I'll Show You,Justin Bieber,0,12,19
443,"Me, Myself & I",G-Eazy x Bebe Rexha,0,37,7
444,Beautiful Drug,Zac Brown Band,0,20,52
445,Already Callin' You Mine,Parmalee,0,3,91
446,We Went,Randy Houser,0,13,60
447,Adventure Of A Lifetime,Coldplay,0,20,13
448,Do It Like Me,DLOW,0,15,45
449,History,One Direction,0,6,65
450,Traveller,Chris Stapleton,0,0,87
451,Halo,Jordan Smith,0,0,88
452,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,0,14,22
453,Stand By You,Rachel Platten,0,20,37
454,My House,Flo Rida,0,39,4
455,Love Yourself,Justin Bieber,0,41,1
456,Great Is Thy Faithfulness,Jordan Smith,0,0,30
457,The Feeling,Justin Bieber Featuring Halsey,0,7,31
458,Mark My Words,Justin Bieber,0,4,42
459,Purpose,Justin Bieber,0,7,43
460,No Pressure,Justin Bieber Featuring Big Sean,0,4,49
461,Company,Justin Bieber,0,12,53
462,No Sense,Justin Bieber Featuring Travi$ Scott,0,3,54
463,Life Is Worth Living,Justin Bieber,0,2,67
464,Children,Justin Bieber,0,0,74
465,Been You,Justin Bieber,0,0,81
466,If I Could Fly,One Direction,0,0,83
467,Olivia,One Direction,0,0,87
468,We Are,Justin Bieber Featuring Nas,0,0,88
469,Get Used To It,Justin Bieber,0,0,90
470,A.M.,One Direction,0,0,94
471,Temporary Fix,One Direction,0,0,96
472,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,0,20,20
473,Trust,Justin Bieber,0,0,98
474,Never Enough,One Direction,0,4,88
475,When We Were Young,Adele,0,20,14
476,Water Under The Bridge,Adele,0,22,26
477,Send My Love (To Your New Lover),Adele,0,27,8
478,Remedy,Adele,0,0,87
479,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,0,19,38
480,Best Friend,Young Thug,0,20,45
481,Rich $ex,Future,0,0,100
482,Down In The DM,Yo Gotti Featuring Nicki Minaj,0,21,13
483,One Call Away,Charlie Puth,0,26,12
484,I'd Just Love To Lay You Down,Barrett Baber,0,0,92
485,Daddy,PSY Featuring CL,0,0,97
486,Girls Just Want To Have Fun,Madi Davis,0,0,98
487,Somebody To Love,Jordan Smith,0,2,21
488,Rockin' Around The Christmas Tree,Brenda Lee,0,27,9
489,Hands To Myself,Selena Gomez,0,20,7
490,Dessert,Dawin,0,11,68
491,Backroad Song,Granger Smith,0,16,49
492,Random,G-Eazy,0,0,94
493,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,0,0,98
494,Mary Did You Know,Jordan Smith,0,0,24
495,Back To Sleep,Chris Brown,0,20,20
496,You Should Be Here,Cole Swindell,0,20,31
497,Climb Every Mountain,Jordan Smith,0,0,72
498,Good To Be Alive (Hallelujah),Andy Grammer,0,10,62
499,God Only Knows,Jordan Smith & Adam Levine,0,0,90
500,Sorry Not Sorry,Demi Lovato,0,36,6
501,Hollow,Tori Kelly,0,11,68
502,The Christmas Song (Merry Christmas To You),Nat King Cole,0,17,11
503,Jingle Bell Rock,Bobby Helms,0,25,8
504,Zero,Chris Brown,0,2,80
505,Little More (Royalty),Chris Brown,0,0,91
506,Really Really,Kevin Gates,0,26,46
507,Let It Go,James Bay,0,34,16
508,Stick Talk,Future,0,2,91
509,Get Ugly,Jason Derulo,0,12,52
510,Watch Out,2 Chainz,0,11,64
511,Mr. Misunderstood,Eric Church,0,5,84
512,Break On Me.,Keith Urban,0,12,54
513,Confession,Florida Georgia Line,0,20,53
514,Out Of The Woods,Taylor Swift,0,10,44
515,Heartbeat,Carrie Underwood,0,14,42
516,Oui,Jeremih,0,27,19
517,2 Phones,Kevin Gates,0,25,17
518,Nobody To Blame,Chris Stapleton,0,15,68
519,Lazarus,David Bowie,0,0,40
520,Space Oddity,David Bowie,0,15,42
521,Under Pressure,Queen & David Bowie,0,16,45
522,Blackstar,David Bowie,0,0,78
523,Drunk On Your Love,Brett Eldredge,0,15,35
524,Bang My Head,David Guetta Featuring Sia & Fetty Wap,0,6,76
